date,1. open,2. high,3. low,4. close,5. volume
2018-12-31 10:30:00,94.7602,95.07,94.5,94.67,296320.0
2018-12-31 11:30:00,94.68,94.96,94.34,94.88,237627.0
2018-12-31 12:30:00,94.9,95.28,94.82,95.28,205136.0
2018-12-31 13:30:00,95.26,95.26,94.42,94.45,280543.0
2018-12-31 14:30:00,94.46,94.84,94.32,94.67,314904.0
2018-12-31 15:30:00,94.67,95.3,94.57,95.3,583978.0
2019-01-02 10:30:00,95.72,96.25,95.52,95.84,501202.0
2019-01-02 11:30:00,95.85,95.99,95.35,95.53,433929.0
2019-01-02 12:30:00,95.52,96.22,95.5,96.01,400021.0
2019-01-02 13:30:00,96.06,96.18,95.47,95.68,431611.0
2019-01-02 14:30:00,95.74,95.91,95.21,95.42,512887.0
2019-01-02 15:30:00,95.38,95.73,95.26,95.67,644612.0
2019-01-03 10:30:00,94.14,94.26,93.48,93.73,701148.0
2019-01-03 11:30:00,93.78,94.76,93.74,94.28,537009.0
2019-01-03 12:30:00,94.29,94.67,93.78,94.13,516484.0
2019-01-03 13:30:00,94.14,94.57,93.9,94.53,359768.0
2019-01-03 14:30:00,94.59,94.64,93.55,93.72,544906.0
2019-01-03 15:30:00,93.72,94.01,93.25,93.44,846737.0
2019-01-04 10:30:00,96.95,97.63,96.61,97.21,627955.0
2019-01-04 11:30:00,97.16,98.125,97.03,98.02,440751.0
2019-01-04 12:30:00,98.06,98.34,97.7,97.84,421213.0
2019-01-04 13:30:00,97.86,97.98,97.6,97.97,369751.0
2019-01-04 14:30:00,97.97,98.13,97.57,97.7,414502.0
2019-01-04 15:30:00,97.68,97.85,97.57,97.63,732386.0
2019-01-07 10:30:00,97.51,98.26,97.51,98.07,505241.0
2019-01-07 11:30:00,98.12,98.69,98.05,98.65,385214.0
2019-01-07 12:30:00,98.64,98.89,98.6,98.78,281177.0
2019-01-07 13:30:00,98.79,98.88,98.31,98.34,318952.0
2019-01-07 14:30:00,98.31,98.71,98.21,98.645,343357.0
2019-01-07 15:30:00,98.66,98.66,98.11,98.17,416422.0
2019-01-08 10:30:00,98.45,98.55,97.68,97.74,397887.0
2019-01-08 11:30:00,97.7,98.19,97.52,98.13,305796.0
2019-01-08 12:30:00,98.13,98.15,97.6,97.97,294665.0
2019-01-08 13:30:00,97.97,98.295,97.86,98.14,252192.0
2019-01-08 14:30:00,98.1,98.33,97.94,98.33,258486.0
2019-01-08 15:30:00,98.35,98.68,98.26,98.66,536716.0
2019-01-09 10:30:00,98.89,98.97,98.16,98.965,316605.0
2019-01-09 11:30:00,98.88,99.18,98.71,98.9,265433.0
2019-01-09 12:30:00,98.92,99.07,98.8,98.81,310928.0
2019-01-09 13:30:00,98.81,99.23,98.58,98.73,365948.0
2019-01-09 14:30:00,98.74,99.13,98.68,98.98,335285.0
2019-01-09 15:30:00,98.93,99.055,98.69,98.83,476287.0
2019-01-10 10:30:00,98.47,98.53,98.02,98.03,409731.0
2019-01-10 11:30:00,98.03,98.505,98.01,98.48,383222.0
2019-01-10 12:30:00,98.48,98.52,97.85,98.13,360941.0
2019-01-10 13:30:00,98.16,98.625,97.85,98.4,341184.0
2019-01-10 14:30:00,98.44,98.535,98.27,98.42,376061.0
2019-01-10 15:30:00,98.41,98.53,98.16,98.21,780345.0
2019-01-11 10:30:00,97.39,98.3,97.39,98.26,403788.0
2019-01-11 11:30:00,98.24,98.67,98.24,98.31,255863.0
2019-01-11 12:30:00,98.28,98.465,98.12,98.15,258426.0
2019-01-11 13:30:00,98.15,98.52,98.15,98.51,284719.0
2019-01-11 14:30:00,98.52,98.52,98.34,98.39,233999.0
2019-01-11 15:30:00,98.38,98.56,98.33,98.55,436185.0
2019-01-14 10:30:00,98.87,98.94,98.5,98.65,448606.0
2019-01-14 11:30:00,98.65,99.01,98.64,98.86,317146.0
2019-01-14 12:30:00,98.86,98.86,98.5,98.58,312385.0
2019-01-14 13:30:00,98.59,98.705,98.34,98.39,347747.0
2019-01-14 14:30:00,98.4,98.62,98.39,98.47,267737.0
