date,1. open,2. high,3. low,4. close,5. volume
2018-12-31 10:30:00,97.29,97.71,97.07,97.34,1599912.0
2018-12-31 11:30:00,97.28,97.32,96.8,97.23,1316378.0
2018-12-31 12:30:00,97.25,97.533,97.19,97.52,908751.0
2018-12-31 13:30:00,97.54,97.54,96.83,96.89,1214234.0
2018-12-31 14:30:00,96.88,97.3,96.78,97.19,1203800.0
2018-12-31 15:30:00,97.16,97.74,96.87,97.74,1890464.0
2019-01-02 10:30:00,98.22,99.19,98.06,98.82,1965409.0
2019-01-02 11:30:00,98.83,99.2,98.51,98.73,1546850.0
2019-01-02 12:30:00,98.71,99.485,98.59,99.42,1644119.0
2019-01-02 13:30:00,99.4315,99.78,99.079,99.34,1494290.0
2019-01-02 14:30:00,99.37,99.58,98.77,99.07,1879530.0
2019-01-02 15:30:00,99.05,99.44,98.88,99.33,1662309.0
2019-01-03 10:30:00,97.36,97.69,96.69,97.33,2099066.0
2019-01-03 11:30:00,97.34,98.21,97.26,97.92,1877186.0
2019-01-03 12:30:00,97.93,98.39,97.48,97.9,1641774.0
2019-01-03 13:30:00,97.88,98.18,97.57,98.04,1451555.0
2019-01-03 14:30:00,98.06,98.19,97.16,97.25,1927784.0
2019-01-03 15:30:00,97.2537,97.52,96.82,97.09,1948383.0
2019-01-04 10:30:00,99.55,99.85,98.9,99.29,2122835.0
2019-01-04 11:30:00,99.252,100.1,99.17,100.01,1476522.0
2019-01-04 12:30:00,100.03,100.78,99.89,100.61,1677409.0
2019-01-04 13:30:00,100.62,100.71,100.1,100.69,1602620.0
2019-01-04 14:30:00,100.68,100.82,100.31,100.44,1686917.0
2019-01-04 15:30:00,100.43,100.92,100.38,100.68,1975436.0
2019-01-07 10:30:00,100.14,100.829,100.12,100.79,1545107.0
2019-01-07 11:30:00,100.795,101.0152,100.58,100.66,1117332.0
2019-01-07 12:30:00,100.67,101.27,100.64,101.17,1120122.0
2019-01-07 13:30:00,101.16,101.47,100.87,101.33,1730320.0
2019-01-07 14:30:00,101.31,101.31,100.69,101.12,1301995.0
2019-01-07 15:30:00,101.14,101.15,100.71,100.73,1355599.0
2019-01-08 10:30:00,100.66,100.67,99.87,100.0,1639381.0
2019-01-08 11:30:00,99.97,100.405,99.6,100.31,1298647.0
2019-01-08 12:30:00,100.3101,100.33,99.55,99.785,1431299.0
2019-01-08 13:30:00,99.805,100.52,99.6579,100.285,1262601.0
2019-01-08 14:30:00,100.28,100.42,100.05,100.32,1801847.0
2019-01-08 15:30:00,100.34,100.68,100.32,100.59,1930285.0
2019-01-09 10:30:00,100.52,100.7,99.93,100.66,2062561.0
2019-01-09 11:30:00,100.65,101.0,100.42,100.83,1534713.0
2019-01-09 12:30:00,100.88,101.05,100.73,100.86,1242100.0
2019-01-09 13:30:00,100.86,101.1,100.49,100.52,1404056.0
2019-01-09 14:30:00,100.52,100.9,100.43,100.62,1480235.0
2019-01-09 15:30:00,100.61,100.7199,100.16,100.44,1848137.0
2019-01-10 10:30:00,99.79,100.15,99.73,99.91,1964734.0
2019-01-10 11:30:00,99.92,100.28,99.87,99.93,1524655.0
2019-01-10 12:30:00,99.92,100.2,99.6,99.77,1428894.0
2019-01-10 13:30:00,99.81,100.62,99.57,100.39,1205323.0
2019-01-10 14:30:00,100.38,100.66,100.26,100.525,1327768.0
2019-01-10 15:30:00,100.52,100.73,100.37,100.37,1545571.0
2019-01-11 10:30:00,99.03,99.67,99.0,99.66,2454745.0
2019-01-11 11:30:00,99.66,100.02,99.66,99.95,1940001.0
2019-01-11 12:30:00,99.94,100.11,99.8,99.92,1581730.0
2019-01-11 13:30:00,99.93,100.1,99.821,99.92,1416228.0
2019-01-11 14:30:00,99.97,100.06,99.84,100.02,1354073.0
2019-01-11 15:30:00,100.03,100.16,99.9,99.91,2149000.0
2019-01-14 10:30:00,100.66,100.84,100.11,100.33,1857682.0
2019-01-14 11:30:00,100.34,101.09,100.31,100.99,1804637.0
2019-01-14 12:30:00,101.0099,101.24,100.82,101.12,1853717.0
2019-01-14 13:30:00,101.127,101.149,100.65,100.79,1426289.0
2019-01-14 14:30:00,100.76,101.245,100.705,101.15,2657095.0
2019-01-14 15:30:00,101.14,101.355,100.8455,100.92,2505053.0
2019-01-15 10:30:00,99.5,100.31,99.46,100.28,3378755.0
