date,1. open,2. high,3. low,4. close,5. volume
2018-12-31 10:30:00,128.8,128.86,128.22,128.45,510470.0
2018-12-31 11:30:00,128.33,128.95,128.13,128.9063,488626.0
2018-12-31 12:30:00,128.94,129.54,128.87,129.36,549024.0
2018-12-31 13:30:00,129.4,129.4,128.75,128.99,632869.0
2018-12-31 14:30:00,128.96,129.375,128.72,128.99,784196.0
2018-12-31 15:30:00,128.98,129.19,128.12,129.07,1152826.0
2019-01-02 10:30:00,126.55,127.83,126.28,127.79,755093.0
2019-01-02 11:30:00,127.772,128.05,127.32,127.523,734692.0
2019-01-02 12:30:00,127.5,128.37,127.35,128.25,521173.0
2019-01-02 13:30:00,128.2568,128.3,127.46,127.5253,519590.0
2019-01-02 14:30:00,127.58,127.9003,127.15,127.52,798239.0
2019-01-02 15:30:00,127.5,127.88,127.21,127.7,686377.0
2019-01-03 10:30:00,125.67,126.26,125.51,125.91,854329.0
2019-01-03 11:30:00,125.89,127.14,125.81,126.25,761818.0
2019-01-03 12:30:00,126.24,126.43,125.56,126.23,758729.0
2019-01-03 13:30:00,126.22,126.56,125.9,126.52,549472.0
2019-01-03 14:30:00,126.575,126.7,125.84,125.93,890644.0
2019-01-03 15:30:00,125.93,126.45,125.55,125.81,1127224.0
2019-01-04 10:30:00,128.0333,128.6,127.23,127.35,880128.0
2019-01-04 11:30:00,127.29,128.1437,127.18,127.91,773679.0
2019-01-04 12:30:00,127.96,128.51,127.84,128.16,646023.0
2019-01-04 13:30:00,128.15,128.23,127.37,127.53,827869.0
2019-01-04 14:30:00,127.51,127.8,127.4,127.66,1126560.0
2019-01-04 15:30:00,127.67,128.01,127.58,127.82,941961.0
2019-01-07 10:30:00,127.08,127.81,126.85,127.57,854211.0
2019-01-07 11:30:00,127.57,128.14,127.46,127.91,743783.0
2019-01-07 12:30:00,127.9236,128.345,127.67,128.18,1227592.0
2019-01-07 13:30:00,128.19,128.19,127.37,127.51,753420.0
2019-01-07 14:30:00,127.47,127.5,127.03,127.3165,837153.0
2019-01-07 15:30:00,127.36,127.49,126.91,127.03,879325.0
2019-01-08 10:30:00,128.35,129.17,128.21,129.15,1240730.0
2019-01-08 11:30:00,129.14,129.47,128.63,129.425,833002.0
2019-01-08 12:30:00,129.41,129.87,128.885,129.74,925760.0
2019-01-08 13:30:00,129.73,130.0,129.4,129.83,705438.0
2019-01-08 14:30:00,129.82,130.5,129.76,130.0,1047696.0
2019-01-08 15:30:00,130.005,130.16,129.75,129.97,1158573.0
2019-01-09 10:30:00,129.56,130.0,128.93,129.76,934429.0
2019-01-09 11:30:00,129.78,130.02,129.5,129.67,573652.0
2019-01-09 12:30:00,129.64,129.9,129.23,129.44,613760.0
2019-01-09 13:30:00,129.44,129.65,128.89,128.9843,819559.0
2019-01-09 14:30:00,128.975,129.21,128.83,128.863,930801.0
2019-01-09 15:30:00,128.85,129.05,128.34,128.91,1302643.0
2019-01-10 10:30:00,128.7,129.59,128.64,129.59,602796.0
2019-01-10 11:30:00,129.595,129.855,129.13,129.29,439775.0
2019-01-10 12:30:00,129.3099,129.73,128.85,129.09,462502.0
2019-01-10 13:30:00,129.11,129.75,128.84,129.695,484299.0
2019-01-10 14:30:00,129.71,129.71,129.14,129.36,560398.0
2019-01-10 15:30:00,129.3501,129.89,129.3,129.71,802119.0
2019-01-11 10:30:00,128.53,128.96,128.45,128.73,449943.0
2019-01-11 11:30:00,128.67,129.05,128.42,128.85,478133.0
2019-01-11 12:30:00,128.87,128.94,128.5045,128.6,444118.0
2019-01-11 13:30:00,128.59,129.06,128.54,129.0566,454230.0
2019-01-11 14:30:00,129.06,129.18,128.84,128.91,401656.0
2019-01-11 15:30:00,128.9,129.83,128.9,129.78,813176.0
2019-01-14 10:30:00,127.73,128.56,127.73,128.15,627158.0
2019-01-14 11:30:00,128.19,128.65,127.985,128.5723,383441.0
2019-01-14 12:30:00,128.55,128.63,128.15,128.24,443510.0
2019-01-14 13:30:00,128.23,128.365,128.0,128.0498,410217.0
2019-01-14 14:30:00,128.06,128.56,128.02,128.43,588059.0
2019-01-14 15:30:00,128.385,128.58,128.29,128.29,813384.0
2019-01-15 10:30:00,128.8,129.48,128.69,128.935,484392.0
2019-01-15 11:30:00,128.92,129.22,128.62,129.0322,442831.0
2019-01-15 12:30:00,129.06,129.099,128.59,128.66,398951.0
2019-01-15 13:30:00,128.665,128.95,128.54,128.565,487085.0
2019-01-15 14:30:00,128.52,129.25,128.44,129.075,492174.0
2019-01-15 15:30:00,129.06,129.41,128.87,129.405,647391.0
