date,1. open,2. high,3. low,4. close,5. volume
2018-12-31 10:30:00,101.37,101.63,100.86,101.22,4292825.0
2018-12-31 11:30:00,101.2,101.59,100.88,101.57,3186521.0
2018-12-31 12:30:00,101.57,102.4,101.54,102.395,2899607.0
2018-12-31 13:30:00,102.4,102.4,101.03,101.1,2965617.0
2018-12-31 14:30:00,101.09,101.6784,100.94,101.23,2890369.0
2018-12-31 15:30:00,101.23,101.65,100.46,101.65,4709145.0
2019-01-02 10:30:00,100.15,101.34,99.96,100.87,4469627.0
2019-01-02 11:30:00,100.91,100.985,100.37,100.57,3459595.0
2019-01-02 12:30:00,100.57,101.67,100.53,101.46,2744377.0
2019-01-02 13:30:00,101.45,101.75,101.05,101.19,2678385.0
2019-01-02 14:30:00,101.2,101.6,100.48,100.55,3321056.0
2019-01-02 15:30:00,100.54,101.33,100.31,101.13,3198214.0
2019-01-03 10:30:00,98.36,98.88,97.46,98.47,6051253.0
2019-01-03 11:30:00,98.5,99.5894,98.29,98.78,3913438.0
2019-01-03 12:30:00,98.79,99.27,98.1,98.45,3237413.0
2019-01-03 13:30:00,98.428,98.65,97.76,98.59,3927470.0
2019-01-03 14:30:00,98.6285,98.81,97.54,97.8175,4516310.0
2019-01-03 15:30:00,97.84,98.3,97.22,97.36,5630743.0
2019-01-04 10:30:00,101.33,102.07,101.15,101.57,7658880.0
2019-01-04 11:30:00,101.56,102.045,101.29,101.865,4474333.0
2019-01-04 12:30:00,101.87,102.51,101.76,102.32,3786171.0
2019-01-04 13:30:00,102.34,102.49,101.75,102.21,3596429.0
2019-01-04 14:30:00,102.22,102.35,101.42,101.5016,4427646.0
2019-01-04 15:30:00,101.5,101.945,101.42,101.93,4676692.0
2019-01-07 10:30:00,101.63,102.56,101.63,102.315,5280613.0
2019-01-07 11:30:00,102.325,103.26,102.28,102.9366,4491232.0
2019-01-07 12:30:00,102.94,103.23,102.815,103.05,2506086.0
2019-01-07 13:30:00,103.01,103.175,102.35,102.35,3503900.0
2019-01-07 14:30:00,102.34,102.43,101.97,102.22,3396104.0
2019-01-07 15:30:00,102.23,102.4084,102.01,102.06,3767696.0
2019-01-08 10:30:00,102.54,102.698,101.805,102.14,4386203.0
2019-01-08 11:30:00,102.14,102.67,101.725,102.52,2913116.0
2019-01-08 12:30:00,102.52,102.72,102.15,102.57,2403064.0
2019-01-08 13:30:00,102.56,103.155,102.46,102.86,2618335.0
2019-01-08 14:30:00,102.85,103.0934,102.51,102.89,2424863.0
2019-01-08 15:30:00,102.9,102.95,102.61,102.82,3341288.0
2019-01-09 10:30:00,104.1,104.45,103.25,104.3538,4713577.0
2019-01-09 11:30:00,104.37,104.615,104.0,104.3593,3524862.0
2019-01-09 12:30:00,104.37,104.7843,104.34,104.66,2986180.0
2019-01-09 13:30:00,104.67,104.87,104.0,104.24,3375173.0
2019-01-09 14:30:00,104.2455,104.5,104.065,104.245,3053011.0
2019-01-09 15:30:00,104.25,104.39,103.89,104.3,3617967.0
2019-01-10 10:30:00,103.5138,103.64,103.22,103.245,2743354.0
2019-01-10 11:30:00,103.26,103.6,103.01,103.04,2885953.0
2019-01-10 12:30:00,103.05,103.46,102.63,102.84,3237277.0
2019-01-10 13:30:00,102.85,103.35,102.39,103.01,2983761.0
2019-01-10 14:30:00,103.01,103.46,102.905,103.32,3434664.0
2019-01-10 15:30:00,103.31,103.74,103.21,103.62,3154836.0
2019-01-11 10:30:00,102.06,102.53,101.92,101.975,3334413.0
2019-01-11 11:30:00,101.98,102.41,101.93,102.16,2852079.0
2019-01-11 12:30:00,102.15,102.26,101.64,101.845,2600287.0
2019-01-11 13:30:00,101.85,102.14,101.67,102.13,2541352.0
2019-01-11 14:30:00,102.15,102.6259,102.14,102.395,3419235.0
2019-01-11 15:30:00,102.4,102.91,102.39,102.77,3963171.0
2019-01-14 10:30:00,101.7,102.18,101.69,102.015,2875995.0
2019-01-14 11:30:00,102.0,102.18,101.51,101.93,2600157.0
2019-01-14 12:30:00,101.93,101.99,101.78,101.82,1787438.0
2019-01-14 13:30:00,101.83,101.92,101.64,101.71,1760100.0
2019-01-14 14:30:00,101.715,102.44,101.715,102.345,2388493.0
2019-01-14 15:30:00,102.335,102.38,101.91,102.02,2998946.0
2019-01-15 10:30:00,104.52,104.71,104.17,104.28,3677228.0
2019-01-15 11:30:00,104.28,104.85,104.19,104.6868,3406493.0
2019-01-15 12:30:00,104.6966,104.98,104.57,104.96,2167027.0
2019-01-15 13:30:00,104.9692,105.0399,104.25,104.28,3412471.0
2019-01-15 14:30:00,104.24,104.8188,103.97,104.7,3207175.0
2019-01-15 15:30:00,104.71,105.02,104.65,105.01,4040432.0
2019-01-16 10:30:00,105.67,105.7,104.97,105.53,4544486.0
2019-01-16 11:30:00,105.53,105.7,105.07,105.21,2668863.0
2019-01-16 12:30:00,105.21,105.47,105.0,105.125,2208008.0
2019-01-16 13:30:00,105.13,105.485,105.1,105.4768,2017886.0
2019-01-16 14:30:00,105.49,105.6339,105.3,105.59,2265089.0
2019-01-16 15:30:00,105.58,105.5867,105.2201,105.38,3822175.0
2019-01-17 10:30:00,105.44,105.54,105.1,105.37,2929325.0
2019-01-17 11:30:00,105.345,105.72,105.305,105.4967,2123064.0
2019-01-17 12:30:00,105.51,105.64,105.25,105.49,2083052.0
2019-01-17 13:30:00,105.5,105.57,105.36,105.47,1568986.0
2019-01-17 14:30:00,105.47,106.62,105.38,105.875,5889153.0
2019-01-17 15:30:00,105.87,106.16,105.74,106.14,3298447.0
2019-01-18 10:30:00,106.31,107.53,106.3099,107.4999,4387109.0
2019-01-18 11:30:00,107.4799,107.7,107.19,107.7,2970971.0
2019-01-18 12:30:00,107.7,107.9,107.62,107.66,2875899.0
2019-01-18 13:30:00,107.66,107.6898,107.21,107.27,2115030.0
2019-01-18 14:30:00,107.25,107.6,106.96,107.42,2612512.0
