date,1. open,2. high,3. low,4. close,5. volume
2018-12-31 10:30:00,249.3495,249.4499,247.91,248.23,239720.0
2018-12-31 11:30:00,248.15,249.29,247.32,249.01,266275.0
2018-12-31 12:30:00,249.16,250.2,249.04,250.2,211160.0
2018-12-31 13:30:00,250.24,250.28,248.0,248.1171,242970.0
2018-12-31 14:30:00,248.1,249.35,247.74,248.74,236417.0
2018-12-31 15:30:00,248.755,249.66,246.99,249.18,446352.0
2019-01-02 10:30:00,242.47,244.83,241.47,244.04,639548.0
2019-01-02 11:30:00,244.0738,244.69,242.84,243.53,378840.0
2019-01-02 12:30:00,243.61,246.29,243.47,245.87,367083.0
2019-01-02 13:30:00,245.85,246.21,243.49,243.63,384899.0
2019-01-02 14:30:00,243.7,244.74,242.345,243.05,540800.0
2019-01-02 15:30:00,242.91,243.7,242.34,243.44,562622.0
2019-01-03 10:30:00,238.1,238.82,236.56,237.56,549670.0
2019-01-03 11:30:00,237.75,241.285,237.3,239.61,497627.0
2019-01-03 12:30:00,239.48,240.12,237.21,238.4,338196.0
2019-01-03 13:30:00,238.34,239.38,237.88,239.1597,394634.0
2019-01-03 14:30:00,239.32,239.56,236.91,237.29,514005.0
2019-01-03 15:30:00,237.24,237.9,236.16,236.78,719348.0
2019-01-04 10:30:00,242.96,243.12,240.905,241.4,540535.0
2019-01-04 11:30:00,241.25,242.88,240.86,242.56,366641.0
2019-01-04 12:30:00,242.57,243.38,241.86,242.12,527394.0
2019-01-04 13:30:00,242.13,242.2384,240.78,241.02,437212.0
2019-01-04 14:30:00,240.96,241.65,240.46,241.27,622550.0
2019-01-04 15:30:00,241.25,241.56,239.37,239.45,875280.0
2019-01-07 10:30:00,238.58,240.335,238.53,240.02,649990.0
2019-01-07 11:30:00,239.96,241.68,239.6524,241.182,393858.0
2019-01-07 12:30:00,241.22,241.8,240.9,241.59,320520.0
2019-01-07 13:30:00,241.56,241.98,240.1,240.2857,413560.0
2019-01-07 14:30:00,240.13,241.3,239.9301,241.17,351812.0
2019-01-07 15:30:00,241.21,241.26,239.79,240.05,521879.0
2019-01-08 10:30:00,242.08,242.92,240.53,241.02,530353.0
2019-01-08 11:30:00,240.8032,241.8,239.81,241.38,500239.0
2019-01-08 12:30:00,241.43,242.66,240.28,242.47,362021.0
2019-01-08 13:30:00,242.47,243.4,242.01,242.29,279781.0
2019-01-08 14:30:00,242.22,243.0,241.81,242.68,345132.0
2019-01-08 15:30:00,242.71,243.24,242.63,243.24,379340.0
2019-01-09 10:30:00,245.3,245.69,243.4,244.6,399308.0
2019-01-09 11:30:00,244.46,244.66,243.71,243.79,363780.0
2019-01-09 12:30:00,243.76,244.165,242.24,243.1,385945.0
2019-01-09 13:30:00,243.2,243.53,242.19,242.56,279447.0
2019-01-09 14:30:00,242.47,243.58,242.195,243.31,334197.0
2019-01-09 15:30:00,243.36,243.83,242.79,243.62,428250.0
2019-01-10 10:30:00,243.445,244.23,243.1492,243.16,262080.0
2019-01-10 11:30:00,243.27,243.92,242.45,242.97,329773.0
2019-01-10 12:30:00,242.98,243.765,242.4859,243.16,252866.0
2019-01-10 13:30:00,243.17,244.28,242.55,244.03,275488.0
2019-01-10 14:30:00,243.95,244.29,243.4,244.1,374117.0
2019-01-10 15:30:00,244.14,245.13,243.83,244.79,394842.0
2019-01-11 10:30:00,244.21,245.63,244.2,245.14,418775.0
2019-01-11 11:30:00,245.13,246.35,245.1,245.65,358083.0
2019-01-11 12:30:00,245.61,246.085,245.19,245.45,412356.0
2019-01-11 13:30:00,245.43,245.95,245.215,245.89,312821.0
2019-01-11 14:30:00,245.93,246.88,245.675,246.8499,366647.0
2019-01-11 15:30:00,246.87,247.71,246.75,247.71,683518.0
2019-01-14 10:30:00,248.57,249.27,247.61,248.16,575345.0
2019-01-14 11:30:00,248.15,249.62,248.15,249.4,500154.0
2019-01-14 12:30:00,249.49,249.87,249.0,249.02,696831.0
2019-01-14 13:30:00,249.08,249.6,247.95,248.36,507210.0
2019-01-14 14:30:00,248.36,248.71,248.17,248.2174,651662.0
2019-01-14 15:30:00,248.26,248.6,247.84,247.84,518928.0
2019-01-15 10:30:00,252.74,255.84,252.21,255.22,675159.0
2019-01-15 11:30:00,255.16,256.83,254.43,256.09,547262.0
2019-01-15 12:30:00,256.07,256.07,254.57,255.0,404300.0
2019-01-15 13:30:00,255.13,255.54,253.34,253.34,405973.0
2019-01-15 14:30:00,253.4,256.25,253.16,255.92,596863.0
2019-01-15 15:30:00,255.88,256.9,255.5,256.84,800569.0
2019-01-16 10:30:00,259.73,260.3448,258.955,259.18,799700.0
2019-01-16 11:30:00,259.16,260.04,258.89,260.0,606562.0
2019-01-16 12:30:00,260.0,260.94,259.86,260.91,581899.0
2019-01-16 13:30:00,260.94,262.09,260.46,262.07,492437.0
2019-01-16 14:30:00,262.03,262.16,261.21,261.54,540178.0
2019-01-16 15:30:00,261.53,261.84,260.97,261.42,808950.0
2019-01-17 10:30:00,260.38,260.63,259.1107,259.33,398545.0
2019-01-17 11:30:00,259.25,259.45,257.9289,258.56,334358.0
2019-01-17 12:30:00,258.51,258.9708,258.28,258.89,268021.0
2019-01-17 13:30:00,258.93,259.08,258.3,258.72,271427.0
2019-01-17 14:30:00,258.7,260.63,258.2257,259.455,662937.0
2019-01-17 15:30:00,259.5,259.91,259.28,259.74,453641.0
2019-01-18 10:30:00,260.87,262.65,260.8,262.03,428166.0
2019-01-18 11:30:00,262.07,263.8,261.95,263.77,459669.0
2019-01-18 12:30:00,263.74,264.42,263.5,263.96,374149.0
2019-01-18 13:30:00,264.0,265.31,263.845,264.67,536074.0
2019-01-18 14:30:00,264.5113,265.27,264.5113,265.04,542798.0
2019-01-18 15:30:00,265.05,265.7,264.63,265.57,713649.0
2019-01-22 10:30:00,267.14,267.41,266.21,266.48,381569.0
2019-01-22 11:30:00,266.4583,266.685,264.2173,264.9,396092.0
2019-01-22 12:30:00,264.82,265.28,263.87,264.47,293047.0
2019-01-22 13:30:00,264.44,265.11,264.32,264.58,308892.0
2019-01-22 14:30:00,264.6,265.1097,264.01,264.9,373563.0
2019-01-22 15:30:00,264.9,265.83,264.15,265.76,582963.0
2019-01-23 10:30:00,267.53,267.53,265.05,265.53,313225.0
2019-01-23 11:30:00,265.56,265.74,263.67,264.58,301202.0
2019-01-23 12:30:00,264.585,265.455,264.585,265.13,265849.0
2019-01-23 13:30:00,265.14,266.0,265.14,265.715,259027.0
2019-01-23 14:30:00,265.65,266.48,265.35,266.26,288731.0
2019-01-23 15:30:00,266.37,267.11,266.03,267.03,320371.0
2019-01-24 10:30:00,267.5,268.09,265.9,266.25,436129.0
2019-01-24 11:30:00,266.25,266.7,265.86,266.15,314200.0
2019-01-24 12:30:00,266.05,266.37,264.9498,265.17,242839.0
2019-01-24 13:30:00,265.08,265.39,264.295,265.05,311118.0
2019-01-24 14:30:00,264.99,265.82,264.92,265.44,293691.0
2019-01-24 15:30:00,265.41,266.28,265.08,266.11,349027.0
2019-01-25 10:30:00,269.96,270.32,268.8,268.81,285183.0
2019-01-25 11:30:00,268.71,268.87,267.34,268.07,353709.0
2019-01-25 12:30:00,268.0,268.16,265.77,267.3316,357073.0
2019-01-25 13:30:00,267.27,267.74,267.04,267.17,188962.0
2019-01-25 14:30:00,267.31,267.92,267.19,267.47,231990.0
2019-01-25 15:30:00,267.5268,268.17,267.17,268.05,447339.0
2019-01-28 10:30:00,265.73,266.0,264.975,265.46,335708.0
2019-01-28 11:30:00,265.63,265.77,264.65,265.285,235410.0
2019-01-28 12:30:00,265.28,266.02,265.16,265.79,166082.0
2019-01-28 13:30:00,265.89,266.6,265.6,265.85,295808.0
2019-01-28 14:30:00,265.8,266.32,265.5,265.97,433066.0
2019-01-28 15:30:00,265.93,266.82,265.65,266.77,362480.0
2019-01-29 10:30:00,267.55,267.6,265.56,265.72,239162.0
2019-01-29 11:30:00,265.845,267.87,265.845,267.79,193975.0
2019-01-29 12:30:00,267.8,267.8,267.2,267.5,177619.0
2019-01-29 13:30:00,267.6513,267.69,267.12,267.12,184140.0
2019-01-29 14:30:00,267.16,267.645,266.55,267.61,206816.0
2019-01-29 15:30:00,267.64,267.85,266.88,267.36,312224.0
2019-01-30 10:30:00,271.52,272.0,270.76,271.9,449610.0
2019-01-30 11:30:00,271.91,271.92,270.74,270.81,431872.0
2019-01-30 12:30:00,270.92,270.93,269.48,269.63,233325.0
2019-01-30 13:30:00,269.59,270.35,267.2,270.0,592086.0
2019-01-30 14:30:00,269.9,271.0,269.53,269.98,426201.0
2019-01-30 15:30:00,269.9,270.46,269.47,270.39,499812.0
2019-01-31 10:30:00,271.69,271.69,269.46,270.45,375674.0
2019-01-31 11:30:00,270.44,270.65,269.69,269.735,378491.0
2019-01-31 12:30:00,269.77,269.8,268.99,269.25,336481.0
2019-01-31 13:30:00,269.28,270.18,269.23,270.12,302205.0
2019-01-31 14:30:00,270.13,270.22,269.18,269.65,379037.0
2019-01-31 15:30:00,269.68,270.4,269.5,270.08,770448.0
2019-02-01 10:30:00,268.16,268.32,267.4,267.93,414326.0
2019-02-01 11:30:00,267.84,268.52,267.45,267.96,349853.0
2019-02-01 12:30:00,267.95,268.9,267.95,268.52,273809.0
2019-02-01 13:30:00,268.55,268.675,267.98,268.565,323621.0
2019-02-01 14:30:00,268.65,268.75,267.99,268.07,444328.0
2019-02-01 15:30:00,268.09,268.795,267.68,268.65,521233.0
2019-02-04 10:30:00,265.17,265.27,264.51,264.99,363177.0
2019-02-04 11:30:00,265.02,265.58,264.27,265.5698,306507.0
2019-02-04 12:30:00,265.53,266.25,265.24,266.22,420388.0
2019-02-04 13:30:00,266.25,267.0,265.83,266.65,474279.0
2019-02-04 14:30:00,266.65,267.12,266.5502,266.7838,286863.0
2019-02-04 15:30:00,266.74,268.24,266.49,268.24,423293.0
2019-02-05 10:30:00,271.16,271.16,270.43,270.81,271978.0
2019-02-05 11:30:00,270.715,270.77,268.455,268.65,387771.0
